INFO:2024-01-26 18:00:36,326: Epoch [1/1], Step [370/6250], Loss: 0.36718, Disc Loss: 0.00000, Dur Loss: 0.82948, CE Loss: 0.05005, Norm Loss: 1.87976, F0 Loss: 5.59696, LM Loss: 1.56535, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:00:50,535: Epoch [1/1], Step [380/6250], Loss: 0.38558, Disc Loss: 0.00000, Dur Loss: 0.84729, CE Loss: 0.05506, Norm Loss: 1.96042, F0 Loss: 4.61706, LM Loss: 1.48800, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:01:03,939: Epoch [1/1], Step [390/6250], Loss: 0.37485, Disc Loss: 0.00000, Dur Loss: 0.82800, CE Loss: 0.05297, Norm Loss: 1.57062, F0 Loss: 5.74628, LM Loss: 1.42713, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:01:17,362: Epoch [1/1], Step [400/6250], Loss: 0.36457, Disc Loss: 0.00000, Dur Loss: 0.69158, CE Loss: 0.04921, Norm Loss: 1.78936, F0 Loss: 4.93436, LM Loss: 1.32602, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:01:30,420: Epoch [1/1], Step [410/6250], Loss: 0.36463, Disc Loss: 0.00000, Dur Loss: 0.87075, CE Loss: 0.04941, Norm Loss: 1.89332, F0 Loss: 6.04540, LM Loss: 1.60019, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:01:43,348: Epoch [1/1], Step [420/6250], Loss: 0.38194, Disc Loss: 0.00000, Dur Loss: 0.91724, CE Loss: 0.05795, Norm Loss: 1.95604, F0 Loss: 6.19096, LM Loss: 1.51433, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:01:57,201: Epoch [1/1], Step [430/6250], Loss: 0.36827, Disc Loss: 0.00000, Dur Loss: 0.69753, CE Loss: 0.03908, Norm Loss: 1.54583, F0 Loss: 4.07913, LM Loss: 1.35468, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:02:11,337: Epoch [1/1], Step [440/6250], Loss: 0.38608, Disc Loss: 0.00000, Dur Loss: 0.93101, CE Loss: 0.05786, Norm Loss: 1.42131, F0 Loss: 4.18907, LM Loss: 1.38769, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:02:24,037: Epoch [1/1], Step [450/6250], Loss: 0.36721, Disc Loss: 0.00000, Dur Loss: 0.80627, CE Loss: 0.05385, Norm Loss: 1.48323, F0 Loss: 5.28624, LM Loss: 1.36004, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:02:37,536: Epoch [1/1], Step [460/6250], Loss: 0.35323, Disc Loss: 0.00000, Dur Loss: 0.87144, CE Loss: 0.05555, Norm Loss: 1.50750, F0 Loss: 4.70396, LM Loss: 1.36248, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
